"Hugo_Symbol","key","Variant_Classification","N","samples","qvalues","nSamples","cito","total","Fract"
"AARS2","Amp_AP_6:6p21.1","Amp",22,"sarc-sg007-01-000-000,sarc-sg039-01-000-000,sarc-sg043-01-000-000,sarc-sg051-01-000-000,sgit-st006-01-000-000,sgit-st017-01-000-000,sgit-st018-01-000-000,sgit-st019-01-000-000,sgit-st034-01-000-000,sgit-st042-01-000-000,sgit-st046-01-000-000,sgit-st047-01-000-000,sgit-st049-01-000-000,sgit-st057-01-000-000,sgit-st058-01-000-000,sgit-st071-01-000-000,sgit-st072-01-000-000,sgit-st082-01-000-000,sgit-st090-01-000-000,sgit-st095-01-000-000,sgit-st097-01-000-000,sgit-st115-01-000-000",1.0825e-06,22,"6p21.1",36,0.611111111111111
"ABCA4","Amp_AP_1:1p31.1","Amp",19,"sarc-sg001-01-000-000,sarc-sg007-01-000-000,sarc-sg039-01-000-000,sarc-sg043-01-000-000,sarc-sg044-01-000-000,sgit-st006-01-000-000,sgit-st017-01-000-000,sgit-st019-01-000-000,sgit-st042-01-000-000,sgit-st046-01-000-000,sgit-st047-01-000-000,sgit-st049-01-000-000,sgit-st057-01-000-000,sgit-st058-01-000-000,sgit-st066-01-000-000,sgit-st072-01-000-000,sgit-st081-01-000-000,sgit-st090-01-000-000,sgit-st096-01-000-000",0.038155,19,"1p31.1",36,0.527777777777778
"ABCB10","Del_DP_1:1q43","Del",14,"sarc-sg007-01-000-000,sarc-sg036-01-000-000,sarc-sg039-01-000-000,sarc-sg043-01-000-000,sarc-sg044-01-000-000,sarc-sg051-01-000-000,sgit-st019-01-000-000,sgit-st034-01-000-000,sgit-st047-01-000-000,sgit-st049-01-000-000,sgit-st058-01-000-000,sgit-st066-01-000-000,sgit-st072-01-000-000,sgit-st082-01-000-000",0.041395,14,"1q43",36,0.388888888888889
"ABCC10","Amp_AP_6:6p21.1","Amp",22,"sarc-sg007-01-000-000,sarc-sg039-01-000-000,sarc-sg043-01-000-000,sarc-sg051-01-000-000,sgit-st006-01-000-000,sgit-st017-01-000-000,sgit-st018-01-000-000,sgit-st019-01-000-000,sgit-st034-01-000-000,sgit-st042-01-000-000,sgit-st046-01-000-000,sgit-st047-01-000-000,sgit-st049-01-000-000,sgit-st057-01-000-000,sgit-st058-01-000-000,sgit-st071-01-000-000,sgit-st072-01-000-000,sgit-st082-01-000-000,sgit-st090-01-000-000,sgit-st095-01-000-000,sgit-st097-01-000-000,sgit-st115-01-000-000",1.0825e-06,22,"6p21.1",36,0.611111111111111
"ABCD3","Amp_AP_1:1p31.1","Amp",19,"sarc-sg001-01-000-000,sarc-sg007-01-000-000,sarc-sg039-01-000-000,sarc-sg043-01-000-000,sarc-sg044-01-000-000,sgit-st006-01-000-000,sgit-st017-01-000-000,sgit-st019-01-000-000,sgit-st042-01-000-000,sgit-st046-01-000-000,sgit-st047-01-000-000,sgit-st049-01-000-000,sgit-st057-01-000-000,sgit-st058-01-000-000,sgit-st066-01-000-000,sgit-st072-01-000-000,sgit-st081-01-000-000,sgit-st090-01-000-000,sgit-st096-01-000-000",0.038155,19,"1p31.1",36,0.527777777777778
"ABHD8","Del_DP_13:19p12","Del",13,"sarc-sg001-01-000-000,sarc-sg039-01-000-000,sarc-sg044-01-000-000,sgit-st006-01-000-000,sgit-st012-01-000-000,sgit-st017-01-000-000,sgit-st018-01-000-000,sgit-st034-01-000-000,sgit-st047-01-000-000,sgit-st049-01-000-000,sgit-st071-01-000-000,sgit-st081-01-000-000,sgit-st090-01-000-000",0.091317,13,"19p12",36,0.361111111111111
"ACADM","Amp_AP_1:1p31.1","Amp",19,"sarc-sg001-01-000-000,sarc-sg007-01-000-000,sarc-sg039-01-000-000,sarc-sg043-01-000-000,sarc-sg044-01-000-000,sgit-st006-01-000-000,sgit-st017-01-000-000,sgit-st019-01-000-000,sgit-st042-01-000-000,sgit-st046-01-000-000,sgit-st047-01-000-000,sgit-st049-01-000-000,sgit-st057-01-000-000,sgit-st058-01-000-000,sgit-st066-01-000-000,sgit-st072-01-000-000,sgit-st081-01-000-000,sgit-st090-01-000-000,sgit-st096-01-000-000",0.038155,19,"1p31.1",36,0.527777777777778
"ACTA1","Del_DP_1:1q43","Del",14,"sarc-sg007-01-000-000,sarc-sg036-01-000-000,sarc-sg039-01-000-000,sarc-sg043-01-000-000,sarc-sg044-01-000-000,sarc-sg051-01-000-000,sgit-st019-01-000-000,sgit-st034-01-000-000,sgit-st047-01-000-000,sgit-st049-01-000-000,sgit-st058-01-000-000,sgit-st066-01-000-000,sgit-st072-01-000-000,sgit-st082-01-000-000",0.041395,14,"1q43",36,0.388888888888889
"ACTN2","Del_DP_1:1q43","Del",14,"sarc-sg007-01-000-000,sarc-sg036-01-000-000,sarc-sg039-01-000-000,sarc-sg043-01-000-000,sarc-sg044-01-000-000,sarc-sg051-01-000-000,sgit-st019-01-000-000,sgit-st034-01-000-000,sgit-st047-01-000-000,sgit-st049-01-000-000,sgit-st058-01-000-000,sgit-st066-01-000-000,sgit-st072-01-000-000,sgit-st082-01-000-000",0.041395,14,"1q43",36,0.388888888888889
"ADAMTS14","Del_DP_5:10q21.3","Del",23,"sarc-sg007-01-000-000,sarc-sg036-01-000-000,sarc-sg039-01-000-000,sarc-sg043-01-000-000,sarc-sg044-01-000-000,sarc-sg051-01-000-000,sarc-sg092-01-000-000,sgit-st006-01-000-000,sgit-st012-01-000-000,sgit-st018-01-000-000,sgit-st019-01-000-000,sgit-st034-01-000-000,sgit-st046-01-000-000,sgit-st047-01-000-000,sgit-st049-01-000-000,sgit-st058-01-000-000,sgit-st064-01-000-000,sgit-st066-01-000-000,sgit-st072-01-000-000,sgit-st081-01-000-000,sgit-st082-01-000-000,sgit-st097-01-000-000,sgit-st115-01-000-000",0.092649,23,"10q21.3",36,0.638888888888889
