"Hugo_Symbol","key","Variant_Classification","N","samples","qvalues","nSamples","cito","total","Fract"
"AARS2","Amp_AP_2:6p21.1","Amp",7,"sarc-sg029-01-000-000,sgit-st026-01-000-000,sgit-st100-01-000-001,sgit-st101-01-000-000,sgit-st102-01-000-100,sgit-st103-01-000-000,sgit-st114-01-000-000",0.025282,7,"6p21.1",11,0.636363636363636
"ABCC10","Amp_AP_2:6p21.1","Amp",7,"sarc-sg029-01-000-000,sgit-st026-01-000-000,sgit-st100-01-000-001,sgit-st101-01-000-000,sgit-st102-01-000-100,sgit-st103-01-000-000,sgit-st114-01-000-000",0.025282,7,"6p21.1",11,0.636363636363636
"ANGPTL5","Amp_AP_4:11q22.2","Amp",4,"sarc-sg029-01-000-000,sgit-st085-01-000-000,sgit-st103-01-000-000,sgit-st114-01-000-000",0.025282,4,"11q22.2",11,0.363636363636364
"APOBEC2","Amp_AP_2:6p21.1","Amp",7,"sarc-sg029-01-000-000,sgit-st026-01-000-000,sgit-st100-01-000-001,sgit-st101-01-000-000,sgit-st102-01-000-100,sgit-st103-01-000-000,sgit-st114-01-000-000",0.025282,7,"6p21.1",11,0.636363636363636
"ATP6V0CP3","Amp_AP_2:6p21.1","Amp",7,"sarc-sg029-01-000-000,sgit-st026-01-000-000,sgit-st100-01-000-001,sgit-st101-01-000-000,sgit-st102-01-000-100,sgit-st103-01-000-000,sgit-st114-01-000-000",0.025282,7,"6p21.1",11,0.636363636363636
"BIRC2","Amp_AP_4:11q22.2","Amp",4,"sarc-sg029-01-000-000,sgit-st085-01-000-000,sgit-st103-01-000-000,sgit-st114-01-000-000",0.025282,4,"11q22.2",11,0.363636363636364
"BIRC3","Amp_AP_4:11q22.2","Amp",4,"sarc-sg029-01-000-000,sgit-st085-01-000-000,sgit-st103-01-000-000,sgit-st114-01-000-000",0.025282,4,"11q22.2",11,0.363636363636364
"BYSL","Amp_AP_2:6p21.1","Amp",7,"sarc-sg029-01-000-000,sgit-st026-01-000-000,sgit-st100-01-000-001,sgit-st101-01-000-000,sgit-st102-01-000-100,sgit-st103-01-000-000,sgit-st114-01-000-000",0.025282,7,"6p21.1",11,0.636363636363636
"C11orf70","Amp_AP_4:11q22.2","Amp",4,"sarc-sg029-01-000-000,sgit-st085-01-000-000,sgit-st103-01-000-000,sgit-st114-01-000-000",0.025282,4,"11q22.2",11,0.363636363636364
"C6orf108","Amp_AP_2:6p21.1","Amp",7,"sarc-sg029-01-000-000,sgit-st026-01-000-000,sgit-st100-01-000-001,sgit-st101-01-000-000,sgit-st102-01-000-100,sgit-st103-01-000-000,sgit-st114-01-000-000",0.025282,7,"6p21.1",11,0.636363636363636
"C6orf130","Amp_AP_2:6p21.1","Amp",7,"sarc-sg029-01-000-000,sgit-st026-01-000-000,sgit-st100-01-000-001,sgit-st101-01-000-000,sgit-st102-01-000-100,sgit-st103-01-000-000,sgit-st114-01-000-000",0.025282,7,"6p21.1",11,0.636363636363636
"C6orf132","Amp_AP_2:6p21.1","Amp",7,"sarc-sg029-01-000-000,sgit-st026-01-000-000,sgit-st100-01-000-001,sgit-st101-01-000-000,sgit-st102-01-000-100,sgit-st103-01-000-000,sgit-st114-01-000-000",0.025282,7,"6p21.1",11,0.636363636363636
"C6orf223","Amp_AP_2:6p21.1","Amp",7,"sarc-sg029-01-000-000,sgit-st026-01-000-000,sgit-st100-01-000-001,sgit-st101-01-000-000,sgit-st102-01-000-100,sgit-st103-01-000-000,sgit-st114-01-000-000",0.025282,7,"6p21.1",11,0.636363636363636
"C6orf226","Amp_AP_2:6p21.1","Amp",7,"sarc-sg029-01-000-000,sgit-st026-01-000-000,sgit-st100-01-000-001,sgit-st101-01-000-000,sgit-st102-01-000-100,sgit-st103-01-000-000,sgit-st114-01-000-000",0.025282,7,"6p21.1",11,0.636363636363636
