Samples	CN1	CN3	CN7	CN12	CN14	CN15	CN19	CN23	CN24	CNV48A
sarc-sg037-01-000-000	24	0	0	0	26	0	0	0	0	0
sarc-sg050-01-000-000	0	0	0	0	0	0	0	0	0	800
sarc-sg061-01-000-000	0	0	0	0	49	20	0	0	0	0
sarc-sg079-01-000-000	37	0	0	0	0	0	0	30	0	37
sgit-st009-01-000-000	32	0	0	0	0	0	0	45	0	58
sgit-st021-01-000-000	0	0	0	0	54	0	0	0	0	0
sgit-st027-01-000-000	0	52	0	0	0	0	0	0	0	0
sgit-st033-01-000-000	0	0	0	36	28	0	0	0	0	0
sgit-st035-01-000-000	0	0	0	0	34	14	0	0	0	0
sgit-st052-01-000-000	0	0	0	0	0	0	219	0	0	0
sgit-st079-01-000-000	0	0	0	34	24	17	0	0	0	0
sgit-st080-01-000-000	0	0	0	0	35	49	0	0	0	0
sgit-st083-01-000-000	0	0	0	35	41	0	0	0	0	0
sgit-st091-01-000-000	0	0	20	37	32	0	0	0	0	0
sgit-st099-01-000-000	0	0	0	0	65	0	0	0	0	0
sgit-st110-01-000-000	0	176	94	0	0	0	0	0	0	0
sgit-st116-01-000-000	0	0	0	166	0	0	0	0	0	149
