Samples	ID1	ID2	ID12
sarc-sg037-01-000-000	0	72	68
sarc-sg050-01-000-000	16	95	47
sarc-sg061-01-000-000	24	84	70
sarc-sg079-01-000-000	32	148	103
sgit-st009-01-000-000	47	140	70
sgit-st021-01-000-000	24	66	78
sgit-st027-01-000-000	26	81	72
sgit-st033-01-000-000	9	58	28
sgit-st035-01-000-000	0	10	31
sgit-st052-01-000-000	44	167	119
sgit-st079-01-000-000	0	38	41
sgit-st080-01-000-000	25	86	65
sgit-st083-01-000-000	32	65	77
sgit-st091-01-000-000	23	110	52
sgit-st099-01-000-000	16	79	30
sgit-st110-01-000-000	71	230	134
sgit-st116-01-000-000	0	239	0
