Samples	SBS1	SBS4	SBS5	SBS15	SBS43	SBS45	SBS49	SBS52	SBS87	SBS96A
sarc-sg037-01-000-000	29	0	380	101	0	0	0	0	0	200
sarc-sg050-01-000-000	100	724	416	0	779	0	0	0	0	0
sarc-sg061-01-000-000	4	0	73	0	0	0	0	0	0	811
sarc-sg079-01-000-000	0	0	336	308	0	0	0	0	0	293
sgit-st009-01-000-000	76	484	283	0	0	0	0	0	0	0
sgit-st021-01-000-000	0	0	0	109	0	0	0	0	0	770
sgit-st027-01-000-000	52	148	373	72	127	0	0	0	0	0
sgit-st033-01-000-000	84	0	127	0	0	0	0	0	126	277
sgit-st035-01-000-000	23	0	154	63	0	0	0	0	71	101
sgit-st052-01-000-000	163	0	726	0	0	900	197	289	0	0
sgit-st079-01-000-000	24	413	44	88	0	0	0	0	313	0
sgit-st080-01-000-000	140	0	43	0	0	0	0	0	750	518
sgit-st083-01-000-000	44	0	373	0	95	174	0	0	61	0
sgit-st091-01-000-000	0	0	198	0	0	0	0	0	124	875
sgit-st099-01-000-000	116	0	586	0	0	0	0	0	0	0
sgit-st110-01-000-000	79	0	358	0	0	0	0	0	169	1681
sgit-st116-01-000-000	70	376	582	120	364	0	0	0	0	0
