Samples	CN2	CN17	CN18	CN20	CN21
sarc-sg001-01-000-000	39	42	0	35	0
sarc-sg007-01-000-000	42	75	58	0	0
sarc-sg026-01-000-000	0	0	0	0	150
sarc-sg036-01-000-000	0	0	170	54	0
sarc-sg039-01-000-000	0	38	157	0	0
sarc-sg043-01-000-000	0	0	144	49	0
sarc-sg044-01-000-000	0	0	85	24	0
sarc-sg047-01-000-000	0	0	0	0	93
sarc-sg051-01-000-000	0	0	249	0	0
sarc-sg092-01-000-000	0	0	99	0	0
sgit-st006-01-000-000	0	102	0	63	42
sgit-st012-01-000-000	0	0	0	0	122
sgit-st017-01-000-000	47	0	59	88	0
sgit-st018-01-000-000	72	0	0	54	0
sgit-st019-01-000-000	0	51	108	0	0
sgit-st022-01-000-000	53	0	0	0	0
sgit-st031-01-000-000	62	0	0	0	0
sgit-st034-01-000-000	31	61	0	0	31
sgit-st042-01-000-000	0	133	0	0	62
sgit-st045-01-000-000	0	0	105	0	0
sgit-st046-01-000-000	0	0	169	74	0
sgit-st047-01-000-000	0	0	164	38	0
sgit-st049-01-000-000	0	0	111	59	0
sgit-st057-01-000-000	29	71	0	0	43
sgit-st058-01-000-000	31	0	91	79	0
sgit-st064-01-000-000	0	0	80	0	0
sgit-st066-01-000-000	0	0	84	0	0
sgit-st071-01-000-000	45	0	26	0	0
sgit-st072-01-000-000	0	0	68	0	0
sgit-st081-01-000-000	0	0	134	0	0
sgit-st082-01-000-000	18	41	50	0	18
sgit-st090-01-000-000	0	0	111	0	0
sgit-st095-01-000-000	29	24	0	0	0
sgit-st096-01-000-000	0	162	0	0	0
sgit-st097-01-000-000	41	45	0	0	0
sgit-st115-01-000-000	18	0	66	0	0
