Samples	ID1	ID2	ID12	ID83B
sarc-sg001-01-000-000	0	74	35	0
sarc-sg007-01-000-000	27	98	80	0
sarc-sg026-01-000-000	32	91	37	0
sarc-sg036-01-000-000	20	81	32	0
sarc-sg039-01-000-000	36	75	0	0
sarc-sg043-01-000-000	0	70	47	0
sarc-sg044-01-000-000	0	34	28	0
sarc-sg047-01-000-000	24	99	0	0
sarc-sg051-01-000-000	18	62	35	0
sarc-sg092-01-000-000	23	69	58	0
sgit-st006-01-000-000	19	71	43	0
sgit-st012-01-000-000	54	140	111	0
sgit-st017-01-000-000	29	76	54	119
sgit-st018-01-000-000	22	85	52	0
sgit-st019-01-000-000	13	53	58	0
sgit-st022-01-000-000	11	55	47	0
sgit-st031-01-000-000	22	134	69	0
sgit-st034-01-000-000	0	31	25	53
sgit-st042-01-000-000	16	55	44	0
sgit-st045-01-000-000	34	103	71	0
sgit-st046-01-000-000	20	76	58	0
sgit-st047-01-000-000	37	107	57	0
sgit-st049-01-000-000	27	111	72	0
sgit-st057-01-000-000	16	51	59	0
sgit-st058-01-000-000	42	117	103	0
sgit-st064-01-000-000	17	102	71	0
sgit-st066-01-000-000	25	114	49	0
sgit-st071-01-000-000	8	32	46	0
sgit-st072-01-000-000	0	46	47	0
sgit-st081-01-000-000	0	154	107	0
sgit-st082-01-000-000	25	65	76	0
sgit-st090-01-000-000	15	37	65	0
sgit-st095-01-000-000	0	3	0	32
sgit-st096-01-000-000	0	0	0	171
sgit-st097-01-000-000	45	115	0	0
sgit-st115-01-000-000	32	109	47	0
