Samples	SBS1	SBS5	SBS23	SBS29	SBS43	SBS45	SBS49	SBS96D
sarc-sg001-01-000-000	50	317	0	210	277	0	0	0
sarc-sg007-01-000-000	71	625	0	0	242	189	0	0
sarc-sg026-01-000-000	86	531	0	0	235	240	0	0
sarc-sg036-01-000-000	58	405	0	305	256	0	0	0
sarc-sg039-01-000-000	38	426	0	268	127	0	0	0
sarc-sg043-01-000-000	64	343	0	209	290	0	0	0
sarc-sg044-01-000-000	0	375	0	1398	730	0	0	0
sarc-sg047-01-000-000	35	222	0	122	250	0	0	0
sarc-sg051-01-000-000	54	1025	0	1181	759	0	0	0
sarc-sg092-01-000-000	91	506	0	0	0	167	0	130
sgit-st006-01-000-000	15	286	0	638	171	0	0	0
sgit-st012-01-000-000	109	1129	0	0	0	257	0	0
sgit-st017-01-000-000	101	1153	0	339	0	0	0	262
sgit-st018-01-000-000	86	395	0	0	0	0	0	619
sgit-st019-01-000-000	0	135	0	0	0	0	0	1249
sgit-st022-01-000-000	212	95	0	0	0	0	0	421
sgit-st031-01-000-000	56	255	0	113	0	0	0	266
sgit-st034-01-000-000	92	457	0	0	0	0	0	272
sgit-st042-01-000-000	105	393	360	0	0	0	0	216
sgit-st045-01-000-000	122	608	0	0	0	0	0	238
sgit-st046-01-000-000	7	0	0	0	0	5909	1710	0
sgit-st047-01-000-000	5	0	0	0	0	7994	0	0
sgit-st049-01-000-000	41	322	0	0	0	1302	0	558
sgit-st057-01-000-000	81	292	0	253	0	0	0	421
sgit-st058-01-000-000	163	801	0	0	0	0	0	243
sgit-st064-01-000-000	118	611	0	0	0	159	0	0
sgit-st066-01-000-000	61	401	0	0	0	136	0	273
sgit-st071-01-000-000	105	486	0	0	0	103	0	198
sgit-st072-01-000-000	92	468	113	0	0	113	0	0
sgit-st081-01-000-000	88	552	0	0	684	534	0	0
sgit-st082-01-000-000	0	68	0	0	130	145	0	888
sgit-st090-01-000-000	72	573	0	0	0	0	0	125
sgit-st095-01-000-000	279	868	0	0	0	0	0	0
sgit-st096-01-000-000	236	751	0	0	0	0	0	0
sgit-st097-01-000-000	122	672	0	0	0	0	0	0
sgit-st115-01-000-000	730	3495	0	0	0	0	0	0
