"Hugo_Symbol","Tumor_Sample_Barcode","Variant_Classification","Variant_Type","Cytoband","key","cito","N_samples","total","Fract"
"hsa-mir-586","sarc-sg029-01-000-000","Amp","CNV","AP_2:6p21.1","Amp_AP_2:6p21.1","6p21.1",7,11,0.636363636363636
"BYSL","sarc-sg029-01-000-000","Amp","CNV","AP_2:6p21.1","Amp_AP_2:6p21.1","6p21.1",7,11,0.636363636363636
"RUNX2","sarc-sg029-01-000-000","Amp","CNV","AP_2:6p21.1","Amp_AP_2:6p21.1","6p21.1",7,11,0.636363636363636
"CCND3","sarc-sg029-01-000-000","Amp","CNV","AP_2:6p21.1","Amp_AP_2:6p21.1","6p21.1",7,11,0.636363636363636
"CDC5L","sarc-sg029-01-000-000","Amp","CNV","AP_2:6p21.1","Amp_AP_2:6p21.1","6p21.1",7,11,0.636363636363636
"SLC29A1","sarc-sg029-01-000-000","Amp","CNV","AP_2:6p21.1","Amp_AP_2:6p21.1","6p21.1",7,11,0.636363636363636
"GUCA1A","sarc-sg029-01-000-000","Amp","CNV","AP_2:6p21.1","Amp_AP_2:6p21.1","6p21.1",7,11,0.636363636363636
"GUCA1B","sarc-sg029-01-000-000","Amp","CNV","AP_2:6p21.1","Amp_AP_2:6p21.1","6p21.1",7,11,0.636363636363636
"HSP90AB1","sarc-sg029-01-000-000","Amp","CNV","AP_2:6p21.1","Amp_AP_2:6p21.1","6p21.1",7,11,0.636363636363636
"MDFI","sarc-sg029-01-000-000","Amp","CNV","AP_2:6p21.1","Amp_AP_2:6p21.1","6p21.1",7,11,0.636363636363636
"MEA1","sarc-sg029-01-000-000","Amp","CNV","AP_2:6p21.1","Amp_AP_2:6p21.1","6p21.1",7,11,0.636363636363636
"NFKBIE","sarc-sg029-01-000-000","Amp","CNV","AP_2:6p21.1","Amp_AP_2:6p21.1","6p21.1",7,11,0.636363636363636
"NFYA","sarc-sg029-01-000-000","Amp","CNV","AP_2:6p21.1","Amp_AP_2:6p21.1","6p21.1",7,11,0.636363636363636
