Unique Name	Descriptor	Wide Peak Limits	Peak Limits	Region Limits	q values	Residual q values after removing segments shared with higher peaks	Broad or Focal	Amplitude Threshold	sarc-sg001-01-000-000	sarc-sg007-01-000-000	sarc-sg026-01-000-000	sarc-sg036-01-000-000	sarc-sg039-01-000-000	sarc-sg043-01-000-000	sarc-sg044-01-000-000	sarc-sg047-01-000-000	sarc-sg051-01-000-000	sarc-sg092-01-000-000	sgit-st006-01-000-000	sgit-st012-01-000-000	sgit-st017-01-000-000	sgit-st018-01-000-000	sgit-st019-01-000-000	sgit-st022-01-000-000	sgit-st031-01-000-000	sgit-st034-01-000-000	sgit-st042-01-000-000	sgit-st045-01-000-000	sgit-st046-01-000-000	sgit-st047-01-000-000	sgit-st049-01-000-000	sgit-st057-01-000-000	sgit-st058-01-000-000	sgit-st064-01-000-000	sgit-st066-01-000-000	sgit-st071-01-000-000	sgit-st072-01-000-000	sgit-st081-01-000-000	sgit-st082-01-000-000	sgit-st090-01-000-000	sgit-st095-01-000-000	sgit-st096-01-000-000	sgit-st097-01-000-000	sgit-st115-01-000-000	
Amplification Peak  1	1p31.1 	chr1:71327035-97485027(probes 6798:9208)          	chr1:76608778-79106966(probes 7277:7483)          	chr1:76107307-79136920(probes 7226:7486)          	0.038155	   0.038155		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	2	1	0	0	1	1	2	0	0	0	2	0	1	0	2	0	0	0	2	0	1	2	2	2	1	0	1	0	2	1	0	1	0	2	0	0	
Amplification Peak  2	1q21.1 	chr1:121106277-143402920(probes 11113:11194)    	chr1:121116122-143400906(probes 11114:11193)    	chr1:121116122-143412052(probes 11114:11196)    	0.043243	    0.12263		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	2	0	0	2	2	2	2	1	0	0	1	0	0	2	0	0	0	0	1	0	1	2	2	0	0	0	2	1	2	0	2	0	0	2	
Amplification Peak  3	1q21.3 	chr1:149898549-152138740(probes 11755:11959)    	chr1:150930316-151810303(probes 11847:11929)    	chr1:143402922-166935888(probes 11196:13345)    	7.1477e-09	 8.3207e-08		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	2	2	2	2	1	1	1	0	2	2	0	2	2	0	2	0	0	1	2	0	1	2	1	2	2	0	1	0	2	1	0	2	2	2	1	2	
Amplification Peak  4	1q24.3 	chr1:170075595-175052827(probes 13653:14025)    	chr1:171311004-171772864(probes 13741:13782)    	chr1:169530071-175085890(probes 13600:14027)    	0.0035779	   0.080851		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	2	2	2	0	1	2	2	0	1	2	0	0	2	0	1	0	0	1	2	0	1	2	1	0	0	0	1	0	1	1	0	2	2	0	1	2	
Amplification Peak  5	4q12   	chr4:48978669-93521391(probes 63989:67520)        	chr4:48988451-55980238(probes 63990:64213)        	chr4:48988451-56009950(probes 63990:64216)        	0.22107	    0.22107		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	1	2	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	2	0	1	2	1	2	0	0	0	0	0	0	1	1	1	0	0	2	
Amplification Peak  6	6p21.1 	chr6:42175894-46629653(probes 96858:97196)        	chr6:44280813-45177024(probes 97055:97098)        	chr6:38556373-49430251(probes 96542:97400)        	1.0825e-06	 6.6862e-06		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	2	0	0	2	1	0	0	1	0	2	0	2	2	2	0	0	1	2	0	2	1	2	2	2	0	0	2	2	0	2	2	2	0	1	1	
Amplification Peak  7	6p11.2 	chr6:55435577-64404040(probes 97894:98020)        	chr6:57372105-64394047(probes 98004:98019)        	chr6:53767653-64424026(probes 97778:98022)        	0.0037438	    0.15832		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	1	0	0	2	1	2	0	1	0	2	0	1	2	2	0	0	1	2	0	1	1	2	2	1	0	0	0	2	0	2	1	2	0	1	1	
Amplification Peak  8	8q24.21	chr8:126439149-128108808(probes 131391:131547)  	chr8:127428912-128032250(probes 131484:131538)  	chr8:119774201-134503853(probes 130816:132134)  	4.6034e-05	 0.00030449		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	2	0	1	0	2	2	0	1	1	0	2	1	0	2	0	2	1	2	2	1	2	2	2	2	2	1	1	2	2	2	2	1	2	1	2	
Amplification Peak  9	8q24.3 	chr8:141831125-143319591(probes 132732:132867)  	chr8:142525075-143310814(probes 132790:132866)  	chr8:139838892-143811979(probes 132625:132904)  	0.0068138	     0.1095		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	2	0	1	2	1	2	0	1	0	0	2	1	0	2	0	0	1	2	2	2	1	2	2	1	2	1	1	2	2	1	2	1	2	1	2	
Amplification Peak 10	12q14.1	chr12:58108053-61525563(probes 171951:172080)    	chr12:58112438-58695933(probes 171952:171961)    	chr12:58112438-61545331(probes 171952:172082)    	0.10353	    0.10353		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	0	0	0	0	0	0	1	0	0	0	1	2	2	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	1	1	0	2	0	2	
