"Hugo_Symbol","Tumor_Sample_Barcode","Variant_Classification","Variant_Type","Cytoband","key","cito","N_samples","total","Fract"
"hsa-mir-586","sgit-st038-02-000-000","Amp","CNV","AP_1:6p21.1","Amp_AP_1:6p21.1","6p21.1",4,6,0.666666666666667
"RUNX2","sgit-st038-02-000-000","Amp","CNV","AP_1:6p21.1","Amp_AP_1:6p21.1","6p21.1",4,6,0.666666666666667
"CDC5L","sgit-st038-02-000-000","Amp","CNV","AP_1:6p21.1","Amp_AP_1:6p21.1","6p21.1",4,6,0.666666666666667
"SLC29A1","sgit-st038-02-000-000","Amp","CNV","AP_1:6p21.1","Amp_AP_1:6p21.1","6p21.1",4,6,0.666666666666667
"HSP90AB1","sgit-st038-02-000-000","Amp","CNV","AP_1:6p21.1","Amp_AP_1:6p21.1","6p21.1",4,6,0.666666666666667
"MEA1","sgit-st038-02-000-000","Amp","CNV","AP_1:6p21.1","Amp_AP_1:6p21.1","6p21.1",4,6,0.666666666666667
"MEP1A","sgit-st038-02-000-000","Amp","CNV","AP_1:6p21.1","Amp_AP_1:6p21.1","6p21.1",4,6,0.666666666666667
"NFKBIE","sgit-st038-02-000-000","Amp","CNV","AP_1:6p21.1","Amp_AP_1:6p21.1","6p21.1",4,6,0.666666666666667
"PEX6","sgit-st038-02-000-000","Amp","CNV","AP_1:6p21.1","Amp_AP_1:6p21.1","6p21.1",4,6,0.666666666666667
"POLH","sgit-st038-02-000-000","Amp","CNV","AP_1:6p21.1","Amp_AP_1:6p21.1","6p21.1",4,6,0.666666666666667
"PPP2R5D","sgit-st038-02-000-000","Amp","CNV","AP_1:6p21.1","Amp_AP_1:6p21.1","6p21.1",4,6,0.666666666666667
"PTK7","sgit-st038-02-000-000","Amp","CNV","AP_1:6p21.1","Amp_AP_1:6p21.1","6p21.1",4,6,0.666666666666667
"PRPH2","sgit-st038-02-000-000","Amp","CNV","AP_1:6p21.1","Amp_AP_1:6p21.1","6p21.1",4,6,0.666666666666667
"SRF","sgit-st038-02-000-000","Amp","CNV","AP_1:6p21.1","Amp_AP_1:6p21.1","6p21.1",4,6,0.666666666666667
"TBCC","sgit-st038-02-000-000","Amp","CNV","AP_1:6p21.1","Amp_AP_1:6p21.1","6p21.1",4,6,0.666666666666667
"VEGFA","sgit-st038-02-000-000","Amp","CNV","AP_1:6p21.1","Amp_AP_1:6p21.1","6p21.1",4,6,0.666666666666667
"PLA2G7","sgit-st038-02-000-000","Amp","CNV","AP_1:6p21.1","Amp_AP_1:6p21.1","6p21.1",4,6,0.666666666666667
"SUPT3H","sgit-st038-02-000-000","Amp","CNV","AP_1:6p21.1","Amp_AP_1:6p21.1","6p21.1",4,6,0.666666666666667
"SLC25A27","sgit-st038-02-000-000","Amp","CNV","AP_1:6p21.1","Amp_AP_1:6p21.1","6p21.1",4,6,0.666666666666667
"POLR1C","sgit-st038-02-000-000","Amp","CNV","AP_1:6p21.1","Amp_AP_1:6p21.1","6p21.1",4,6,0.666666666666667
"MAD2L1BP","sgit-st038-02-000-000","Amp","CNV","AP_1:6p21.1","Amp_AP_1:6p21.1","6p21.1",4,6,0.666666666666667
