cytoband	1q21.1	7q11.21	14q11.2	1p36.33	12q24.31	11p15.4	12q13.3	3q12.3	4p11	9q34.13	
q value	1.1059e-05	0.0076276	0.010107	0.020539	0.085625	0.17309	0.18028	0.19541	0.19541	0.19541	
residual q value	1.1059e-05	0.0076276	0.010107	0.020539	0.085625	0.17309	0.18028	0.19541	0.19541	0.19541	
wide peak boundaries	chr1:121106805-144832743	chr7:66815745-70246408	chr14:1-20157273	chr1:1-678739	chr12:110019307-133851895	chr11:3706245-4181975	chr12:57521076-57643421	chr3:100086435-108577913	chr4:49225832-52948179	chr9:128494036-141213431	
genes in wide peak	hsa-mir-3118-3	AUTS2	POTEG	hsa-mir-1302-2	hsa-mir-4304	RHOG	hsa-mir-1228	ALCAM	SGCB	hsa-mir-602	
	hsa-mir-3118-2		OR11H12	OR4F3	hsa-mir-1178	NUP98	LRP1	CBLB	DCUN1D4	hsa-mir-4292	
	hsa-mir-3118-1		POTEM	OR4F5	hsa-mir-620	RRM1	SHMT2	CD47	SPATA18	hsa-mir-126	
	PPIAL4A		LOC642426	OR4F16	hsa-mir-1302-1	STIM1	NXPH4	RPL24	LRRC66	hsa-mir-219-2	
	LOC375010			FAM138F	ACADS	PGAP2	NDUFA4L2	DZIP3		hsa-mir-3154	
	FLJ39739			FAM138A	ALDH2	MIR4687	STAC3	TOMM70A		hsa-mir-2861	
	NBPF9			WASH7P	ATP2A2		MIR1228	TFG		ABCA2	
	PPIAL4G			LOC729737	BCL7A			HHLA2		ABL1	
	EMBP1			OR4F29	SCARB1			MYH15		ABO	
	SRGAP2P2			LOC100132062	COX6A1			ABI3BP		AK1	
	PPIAL4B			LOC100132287	DTX1			ZBTB11		ASS1	
	LOC653513			LOC100133331	EIF2B1			TRAT1		C8G	
	PPIAL4C			DDX11L1	STX2			IMPG2		CACNA1B	
	FAM72D				GOLGA3			RG9MTD1		CCBL1	
	LOC728855				GTF2H3			TMEM45A		ENTPD2	
	LOC728875				HPD			IFT57		CDK9	
	PFN1P2				MMP17			BBX		CEL	
	LOC100130000				MSI1			PCNP		CELP	
	LOC100286793				MVK			SENP7		COL5A1	
					MYL2			KIAA1524		CRAT	
					NOS1			NFKBIZ		DBH	
					OAS1			CEP97		SARDH	
					OAS2			RETNLB		DNM1	
					OAS3			CCDC54		TOR1A	
