cytoband	3p11.2	1q43	2q37.1	17p13.1	13q14.3	16q24.3	19p12	10q21.3	11q11	22q13.33	5q35.1	15q14	18q21.1	19p13.2	
q value	0.025992	0.041395	0.041395	0.041395	0.079754	0.091317	0.091317	0.092649	0.11226	0.19522	0.1963	0.23133	0.23133	0.23133	
residual q value	0.025992	0.041395	0.041395	0.041395	0.079754	0.091317	0.091317	0.093103	0.11226	0.1953	0.1963	0.23133	0.23133	0.23133	
wide peak boundaries	chr3:87283615-94662258	chr1:226795921-249250621	chr2:227041478-243199373	chr17:7517847-7750527	chr13:40173906-76104769	chr16:89238117-90354753	chr19:17162129-20803436	chr10:61505863-77321172	chr11:49805802-55328335	chr22:49172386-51304566	chr5:43550832-180915260	chr15:1-77534473	chr18:33841883-69192718	chr19:8921386-9221089	
genes in wide peak	EPHA3	hsa-mir-3124	hsa-mir-3133	ATP1B2	hsa-mir-3169	AFG3L1P	hsa-mir-1270-2	hsa-mir-606	TRIM48	ACR	hsa-mir-340	hsa-mir-4313	hsa-mir-122	MBD3L1	
	HTR1F	hsa-mir-3123	hsa-mir-149	EFNB3	hsa-mir-1297	C16orf3	hsa-mir-1270-1	hsa-mir-1254	OR4C15	ARSA	hsa-mir-1229	hsa-mir-631	hsa-mir-4320	MUC16	
	POU1F1	hsa-mir-1537	hsa-mir-4269	SHBG	hsa-mir-759	CDH15	hsa-mir-640	hsa-mir-1296	OR4A5	CHKB	hsa-mir-4281	hsa-mir-630	hsa-mir-1539	OR1M1	
	PROS1	hsa-mir-1182	hsa-mir-562	TP53	hsa-mir-15a	DPEP1	hsa-mir-3189	ADK	OR4A16	CPT1B	hsa-mir-1271	hsa-mir-629	hsa-mir-4319	OR7G2	
	CGGBP1	ACTA1	hsa-mir-1471	WRAP53	hsa-mir-3168	FANCA	hsa-mir-3188	ANK3	OR4A15	TYMP	hsa-mir-585	hsa-mir-4312	hsa-mir-924		
	ZNF654	ACTN2	hsa-mir-1244-1	SAT2	hsa-mir-621	GAS8	BST2	ANXA2P3	OR4C46	MAPK11	hsa-mir-218-2	hsa-mir-4311	hsa-mir-4318		
	NSUN3	ADSS	AGXT	RPL29P2	hsa-mir-4305	MC1R	COMP	ANXA7	OR4C13	MAPK12	hsa-mir-103-1-as	hsa-mir-1272	ATP5A1		
	ARL13B	AGT	ALPI	DNAH2	ATP7B	CHMP1A	NCAN	CAMK2G	OR4C12	SBF1	hsa-mir-146a	hsa-mir-422a	BCL2		
	DHFRL1	ARF1	ALPP		KLF5	RPL13	NR2F6	CDK1	LOC440041	PPP6R2	hsa-mir-3142	hsa-mir-190	CDH7		
	C3orf38	CHML	ALPPL2		RCBTB2	SPG7	GDF1	COL13A1	LOC441601	ZBED4	hsa-mir-1303	hsa-mir-2116	DCC		
	STX19	LYST	KIF1A		CPB2	CDK10	IL12RB1	DNA2	LOC646813	SCO2	hsa-mir-3141	hsa-mir-628	FECH		
		CHRM3	BOK		DACH1	C16orf7	INSL3	EGR2		RABL2B	hsa-mir-1294	hsa-mir-1266	KDSR		
		FH	CHRND		ELF1	TUBB3	JAK3	EIF4EBP2		MLC1	hsa-mir-378	hsa-mir-147b	GRP		
