"Unique_Name","nGenes","nSamples","Variant_Classification","Cytoband","Wide_Peak_Limits","qvalues","key"
"AP_3:1q21.3",71,27,"Amp","1q21.3","chr1:149898549-152138740",7.1477e-09,"Amp_AP_3:1q21.3"
"AP_13:17p11.2",3,27,"Amp","17p11.2","chr17:16630790-16729153",8.5807e-08,"Amp_AP_13:17p11.2"
"AP_6:6p21.1",67,22,"Amp","6p21.1","chr6:42175894-46629653",1.0825e-06,"Amp_AP_6:6p21.1"
"AP_16:19q12",16,17,"Amp","19q12","chr19:23932027-30802720",2.6586e-06,"Amp_AP_16:19q12"
"AP_8:8q24.21",4,29,"Amp","8q24.21","chr8:126439149-128108808",4.6034e-05,"Amp_AP_8:8q24.21"
"AP_14:17p11.2",72,23,"Amp","17p11.2","chr17:17425442-25858468",5.9847e-05,"Amp_AP_14:17p11.2"
"AP_12:14q11.2",1,22,"Amp","14q11.2","chr14:22882421-22975699",0.00025201,"Amp_AP_12:14q11.2"
"AP_4:1q24.3",60,22,"Amp","1q24.3","chr1:170075595-175052827",0.0035779,"Amp_AP_4:1q24.3"
"AP_7:6p11.2",16,22,"Amp","6p11.2","chr6:55435577-64404040",0.0037438,"Amp_AP_7:6p11.2"
"AP_11:13q34",24,10,"Amp","13q34","chr13:112287462-114559634",0.0043247,"Amp_AP_11:13q34"
"AP_9:8q24.3",11,28,"Amp","8q24.3","chr8:141831125-143319591",0.0068138,"Amp_AP_9:8q24.3"
"DP_3:3p11.2",11,15,"Del","3p11.2","chr3:87283615-94662258",0.025992,"Del_DP_3:3p11.2"
"AP_1:1p31.1",137,19,"Amp","1p31.1","chr1:71327035-97485027",0.038155,"Amp_AP_1:1p31.1"
"AP_15:19p13.2",22,13,"Amp","19p13.2","chr19:13074243-14030549",0.04069,"Amp_AP_15:19p13.2"
"DP_10:17p13.1",8,13,"Del","17p13.1","chr17:7517847-7750527",0.041395,"Del_DP_10:17p13.1"
"DP_1:1q43",199,14,"Del","1q43","chr1:226795921-249250621",0.041395,"Del_DP_1:1q43"
"DP_2:2q37.1",173,22,"Del","2q37.1","chr2:227041478-243199373",0.041395,"Del_DP_2:2q37.1"
"AP_2:1q21.1",4,17,"Amp","1q21.1","chr1:121106277-143402920",0.043243,"Amp_AP_2:1q21.1"
"DP_7:13q14.3",143,28,"Del","13q14.3","chr13:40173906-76104769",0.079754,"Del_DP_7:13q14.3"
"DP_13:19p12",108,13,"Del","19p12","chr19:17162129-20803436",0.091317,"Del_DP_13:19p12"
"DP_9:16q24.3",30,14,"Del","16q24.3","chr16:89238117-90354753",0.091317,"Del_DP_9:16q24.3"
"DP_5:10q21.3",121,23,"Del","10q21.3","chr10:61505863-77321172",0.092649,"Del_DP_5:10q21.3"
"AP_10:12q14.1",18,10,"Amp","12q14.1","chr12:58108053-61525563",0.10353,"Amp_AP_10:12q14.1"
"DP_6:11q11",11,9,"Del","11q11","chr11:49805802-55328335",0.11226,"Del_DP_6:11q11"
"DP_14:22q13.33",42,13,"Del","22q13.33","chr22:49172386-51304566",0.19522,"Del_DP_14:22q13.33"
"DP_4:5q35.1",867,17,"Del","5q35.1","chr5:43550832-180915260",0.1963,"Del_DP_4:5q35.1"
"AP_5:4q12",235,15,"Amp","4q12","chr4:48978669-93521391",0.22107,"Amp_AP_5:4q12"
"DP_11:18q21.1",138,18,"Del","18q21.1","chr18:33841883-69192718",0.23133,"Del_DP_11:18q21.1"
"DP_12:19p13.2",4,8,"Del","19p13.2","chr19:8921386-9221089",0.23133,"Del_DP_12:19p13.2"
"DP_8:15q14",629,18,"Del","15q14","chr15:1-77534473",0.23133,"Del_DP_8:15q14"
