"Cytoband","Variant_Classification","Wide_Peak_Limits","qvalues","nSamples","TotSamples","nGenes","Genes","disease","tissue"
"1q21.3","Amp","chr1:149898549-152138740",7.1477e-09,27,36,71,"ADAMTSL4, ANP32E, ANXA9, APH1A, ARNT, BNIPL, C1orf51, C1orf54, C1orf56, C2CD4D, CA14, CDC42SE1, CELF3, CERS2, CGN, CTSK, CTSS, ECM1, ENSA, FAM63A, GABPB2, GOLPH3L, HORMAD1, LINGO4, LOC100132111, LYSMD1, MCL1, MIR4257, MIR554, MLLT11, MRPL9, MRPS21, MTMR11, OAZ3, OTUD7B, PI4KB, PIP5K1A, PLEKHO1, POGZ, PRPF3, PRUNE, PSMB4, PSMD4, RFX5, RIIAD1, RORC, RPRD2, RPTN, S100A10, S100A11, SCNM1, SELENBP1, SEMA6C, SETDB1, SF3B4, SNX27, TARS2, TCHH, TCHHL1, TDRKH, THEM4, THEM5, TMOD4, TNFAIP8L2, TNFAIP8L2-SCNM1, TUFT1, VPS45, VPS72, ZNF687, hsa-mir-4257, hsa-mir-554","Osteosarcoma","Primary"
"17p11.2","Amp","chr17:16630790-16729153",8.5807e-08,27,36,3,"CCDC144A, FAM106CP, USP32P1","Osteosarcoma","Primary"
"6p21.1","Amp","chr6:42175894-46629653",1.0825e-06,22,36,67,"AARS2, ABCC10, ATP6V0CP3, C6orf108, C6orf223, C6orf226, CAPN11, CDC5L, CLIC5, CNPY3, CRIP3, CUL7, CUL9, CYP39A1, DLK2, ENPP4, ENPP5, GNMT, GTPBP2, HSP90AB1, KIAA0240, KLC4, KLHDC3, LOC100132354, LRRC73, MAD2L1BP, MEA1, MIR4642, MIR4647, MIR586, MRPL14, MRPL2, MRPS10, MRPS18A, NFKBIE, PEX6, POLH, POLR1C, PPP2R5D, PRPH2, PTCRA, PTK7, RCAN2, RPL7L1, RRP36, RSPH9, RUNX2, SLC22A7, SLC25A27, SLC29A1, SLC35B2, SPATS1, SRF, SUPT3H, TBCC, TCTE1, TJAP1, TMEM151B, TMEM63B, TRERF1, TTBK1, UBR2, VEGFA, XPO5, YIPF3, ZNF318, hsa-mir-586","Osteosarcoma","Primary"
"19q12","Amp","chr19:23932027-30802720",2.6586e-06,17,36,16,"C19orf12, CCNE1, LOC100101266, LOC100505835, LOC148145, LOC148189, LOC284395, PLEKHF1, POP4, RPSAP58, UQCRFS1, URI1, VSTM2B, ZNF254, ZNF681, ZNF726","Osteosarcoma","Primary"
"8q24.21","Amp","chr8:126439149-128108808",4.6034e-05,29,36,4,"FAM84B, LOC100130231, PCAT1, TRIB1","Osteosarcoma","Primary"
"17p11.2","Amp","chr17:17425442-25858468",5.9847e-05,23,36,72,"AKAP10, ALDH3A1, ALDH3A2, ALKBH5, ATPAF2, B9D1, C17orf103, C17orf39, C17orf51, CCDC144B, CCDC144C, CCDC144NL, CDRT15L2, DHRS7B, DRG2, EPN2, EVPLL, FAM106A, FAM18B1, FAM27L, FAM83G, FBXW10, FLII, FLJ36000, FOXO3B, GRAP, GRAPL, KCNJ12, KCNJ18, KRT16P3, KSR1, LGALS9B, LGALS9C, LLGL1, LOC339240, LRRC48, MAP2K3, MAPK7, MFAP4, MIR1180, MIR33B, MIR4522, MTRNR2L1, MYO15A, PEMT, PRPSAP2, RAI1, RNF112, SHMT1, SLC47A1, SLC47A2, SLC5A10, SMCR5, SMCR7, SMCR8, SNORA59A, SNORA59B, SPECC1, SREBF1, TBC1D28, TBC1D3P5, TMEM11, TOM1L2, TOP3A, TRIM16L, ULK2, USP22, USP32P2, WSB1, ZNF286B, hsa-mir-1180, hsa-mir-33b","Osteosarcoma","Primary"
"14q11.2","Amp","chr14:22882421-22975699",0.00025201,22,36,1,"[DAD1]","Osteosarcoma","Primary"
"1q24.3","Amp","chr1:170075595-175052827",0.0035779,22,36,60,"ANKRD45, C1orf105, C1orf129, C1orf9, CACYBP, CENPL, DARS2, DNM3, DNM3OS, FASLG, FMO1, FMO2, FMO3, FMO4, FMO6P, GAS5, GORAB, GPR52, KLHL20, LOC100506023, LOC100506046, LOC284688, LOC730159, METTL11B, METTL13, MIR1295A, MIR199A2, MIR214, MIR3119-1, MIR3119-2, MIR3120, MRPS14, MYOC, PIGC, PRDX6, PRRC2C, PRRX1, RABGAP1L, RC3H1, SERPINC1, SLC9A11, SNORD44, SNORD47, SNORD74, SNORD75, SNORD76, SNORD77, SNORD78, SNORD79, SNORD80, SNORD81, TNFSF18, TNFSF4, TNN, TOP1P1, VAMP4, ZBTB37, hsa-mir-1295, hsa-mir-199a-2, hsa-mir-3119-2","Osteosarcoma","Primary"
"6p11.2","Amp","chr6:55435577-64404040",0.0037438,22,36,16,"BAG2, BEND6, BMP5, COL21A1, DST, GUSBP4, HMGCLL1, KHDRBS2, KIAA1586, LGSN, PHF3, PRIM2, PTP4A1, RAB23, ZNF451, hsa-mir-548u","Osteosarcoma","Primary"
"13q34","Amp","chr13:112287462-114559634",0.0043247,10,36,24,"ADPRHL1, ATP11A, ATP4B, C13orf35, CUL4A, DCUN1D2, F10, F7, FAM70B, FLJ41484, GAS6, GRK1, GRTP1, LAMP1, LINC00552, MCF2L, MCF2L-AS1, PCID2, PROZ, SOX1, SPACA7, TFDP1, TMCO3, TUBGCP3","Osteosarcoma","Primary"
