Unique Name	Descriptor	Wide Peak Limits	Peak Limits	Region Limits	q values	Residual q values after removing segments shared with higher peaks	Broad or Focal	Amplitude Threshold	sarc-sg037-01-000-000	sarc-sg050-01-000-000	sarc-sg061-01-000-000	sarc-sg079-01-000-000	sgit-st009-01-000-000	sgit-st021-01-000-000	sgit-st027-01-000-000	sgit-st033-01-000-000	sgit-st035-01-000-000	sgit-st052-01-000-000	sgit-st079-01-000-000	sgit-st080-01-000-000	sgit-st083-01-000-000	sgit-st091-01-000-000	sgit-st099-01-000-000	sgit-st110-01-000-000	sgit-st116-01-000-000	
Amplification Peak  1	1p36.33 	chr1:1-678739(probes 1:61)                             	chr1:1-668809(probes 1:60)                             	chr1:1-698598(probes 1:63)                             	0.020539	   0.020539		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	2	
Amplification Peak  2	1q21.1  	chr1:121106805-144832743(probes 11443:11653)    	chr1:121116734-142827043(probes 11444:11463)    	chr1:121116734-145341916(probes 11444:11709)    	1.1059e-05	 1.1059e-05		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	2	0	0	2	2	2	2	2	2	2	2	2	2	0	2	0	
Amplification Peak  3	3q12.3  	chr3:100086435-108577913(probes 53682:54343)    	chr3:101230935-102933084(probes 53798:53886)    	chr3:101230935-102963057(probes 53798:53889)    	0.19541	    0.19541		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	2	0	0	0	0	0	0	0	2	0	2	0	0	0	2	
Amplification Peak  4	4p11    	chr4:49225832-52948179(probes 67922:67956)        	chr4:49235264-52938242(probes 67923:67955)        	chr4:49235264-52968053(probes 67923:67958)        	0.19541	    0.19541		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	2	0	2	0	0	2	2	0	2	0	2	0	0	0	0	
Amplification Peak  5	7q11.21 	chr7:66815745-70246408(probes 119948:120282)      	chr7:66825661-67029597(probes 119949:119959)      	chr7:66302896-70266333(probes 119900:120284)      	0.0076276	  0.0076276		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	0	0	0	0	0	2	0	2	2	0	0	2	0	0	2	
Amplification Peak  6	9q34.13 	chr9:128494036-141213431(probes 152724:153934)  	chr9:135210325-136071515(probes 153392:153462)  	chr9:135210325-136101403(probes 153392:153465)  	0.19541	    0.19541		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	2	0	0	0	0	0	0	0	2	0	0	0	2	0	0	2	
Amplification Peak  7	11p15.4 	chr11:3706245-4181975(probes 167032:167073)        	chr11:3714812-4172885(probes 167033:167072)        	chr11:3714812-4200156(probes 167033:167075)        	0.17309	    0.17309		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	0	0	0	0	0	0	0	2	0	0	2	2	0	0	0	
Amplification Peak  8	12q13.3 	chr12:57521076-57643421(probes 183887:183899)    	chr12:57530815-57633506(probes 183888:183898)    	chr12:57530815-57663252(probes 183888:183901)    	0.18028	    0.18028		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	0	0	0	2	1	0	2	2	0	2	0	0	0	1	0	
Amplification Peak  9	12q24.31	chr12:110019307-133851895(probes 188715:190987)	chr12:124094888-124319863(probes 190048:190069)	chr12:124094888-124349722(probes 190048:190072)	0.085625	   0.085625		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	0	0	0	0	1	0	2	2	0	1	0	2	2	0	2	
Amplification Peak 10	14q11.2 	chr14:1-20157273(probes 200404:200508)           	chr14:1-20148051(probes 200404:200507)           	chr14:1-20175717(probes 200404:200510)           	0.010107	   0.010107		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	2	2	2	2	2	0	2	0	0	0	0	2	0	1	0	
