"Unique_Name","nGenes","nSamples","Variant_Classification","Cytoband","Wide_Peak_Limits","qvalues","key"
"AP_2:1q21.1",19,12,"Amp","1q21.1","chr1:121106805-144832743",1.1059e-05,"Amp_AP_2:1q21.1"
"DP_9:7p22.2",669,5,"Del","7p22.2","chr7:1-99945880",0.00066626,"Del_DP_9:7p22.2"
"AP_5:7q11.21",1,5,"Amp","7q11.21","chr7:66815745-70246408",0.0076276,"Amp_AP_5:7q11.21"
"DP_19:12q12",7,4,"Del","12q12","chr12:39295232-41982043",0.0098415,"Del_DP_19:12q12"
"AP_10:14q11.2",4,8,"Amp","14q11.2","chr14:1-20157273",0.010107,"Amp_AP_10:14q11.2"
"DP_18:11q11",60,5,"Del","11q11","chr11:49998330-57097437",0.011487,"Del_DP_18:11q11"
"DP_1:1p36.33",773,3,"Del","1p36.33","chr1:1-48663059",0.011487,"Del_DP_1:1p36.33"
"DP_27:20q13.33",649,4,"Del","20q13.33","chr20:1169507-63025520",0.011487,"Del_DP_27:20q13.33"
"DP_26:19p13.2",278,9,"Del","19p13.2","chr19:8912396-17831852",0.011856,"Del_DP_26:19p13.2"
"AP_1:1p36.33",13,3,"Amp","1p36.33","chr1:1-678739",0.020539,"Amp_AP_1:1p36.33"
"DP_4:2q32.1",8,4,"Del","2q32.1","chr2:184018491-189161355",0.061545,"Del_DP_4:2q32.1"
"DP_21:12q24.33",11,3,"Del","12q24.33","chr12:133277287-133851895",0.06184,"Del_DP_21:12q24.33"
"DP_13:9q34.13",983,2,"Del","9q34.13","chr9:1-141213431",0.064013,"Del_DP_13:9q34.13"
"DP_14:9q34.13",922,2,"Del","9q34.13","chr9:15539487-141213431",0.064013,"Del_DP_14:9q34.13"
"DP_16:10q26.3",39,3,"Del","10q26.3","chr10:133792082-135534747",0.064013,"Del_DP_16:10q26.3"
"DP_17:11p15.5",1474,3,"Del","11p15.5","chr11:1-134138863",0.064013,"Del_DP_17:11p15.5"
"DP_22:16p13.3",967,4,"Del","16p13.3","chr16:1-90354753",0.064013,"Del_DP_22:16p13.3"
"DP_23:16p13.3",855,4,"Del","16p13.3","chr16:1-81267717",0.064013,"Del_DP_23:16p13.3"
"DP_24:16q24.3",967,7,"Del","16q24.3","chr16:1-90354753",0.064013,"Del_DP_24:16q24.3"
"DP_15:10q11.21",1,3,"Del","10q11.21","chr10:38736349-42830721",0.077009,"Del_DP_15:10q11.21"
"DP_25:17q25.3",31,5,"Del","17q25.3","chr17:79907031-81195210",0.077033,"Del_DP_25:17q25.3"
"AP_9:12q24.31",236,7,"Amp","12q24.31","chr12:110019307-133851895",0.085625,"Amp_AP_9:12q24.31"
"DP_11:8q22.1",100,1,"Del","8q22.1","chr8:89332082-105352688",0.1632,"Del_DP_11:8q22.1"
"DP_10:7q11.21",160,3,"Del","7q11.21","chr7:55270482-77648183",0.17251,"Del_DP_10:7q11.21"
"DP_5:2q35",77,3,"Del","2q35","chr2:204393015-218902963",0.17251,"Del_DP_5:2q35"
"DP_6:4p16.3",431,2,"Del","4p16.3","chr4:1-78755135",0.17251,"Del_DP_6:4p16.3"
"DP_3:1q21.1",81,2,"Del","1q21.1","chr1:120928085-149906412",0.17281,"Del_DP_3:1q21.1"
"AP_7:11p15.4",6,3,"Amp","11p15.4","chr11:3706245-4181975",0.17309,"Amp_AP_7:11p15.4"
"AP_8:12q13.3",7,6,"Amp","12q13.3","chr12:57521076-57643421",0.18028,"Amp_AP_8:12q13.3"
"DP_12:8q24.3",114,3,"Del","8q24.3","chr8:142009195-146364022",0.19345,"Del_DP_12:8q24.3"
"DP_20:12q21.32",8,2,"Del","12q21.32","chr12:87227837-89815448",0.19345,"Del_DP_20:12q21.32"
"DP_7:4q13.2",43,3,"Del","4q13.2","chr4:68680946-71555955",0.19345,"Del_DP_7:4q13.2"
"DP_8:6p12.1",78,4,"Del","6p12.1","chr6:45511844-63990830",0.19345,"Del_DP_8:6p12.1"
"AP_3:3q12.3",37,4,"Amp","3q12.3","chr3:100086435-108577913",0.19541,"Amp_AP_3:3q12.3"
"AP_4:4p11",4,6,"Amp","4p11","chr4:49225832-52948179",0.19541,"Amp_AP_4:4p11"
"AP_6:9q34.13",280,4,"Amp","9q34.13","chr9:128494036-141213431",0.19541,"Amp_AP_6:9q34.13"
"DP_2:1p31.3",2410,2,"Del","1p31.3","chr1:1-249250621",0.23801,"Del_DP_2:1p31.3"
